X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-79.035728,35.932522,2019/06/23 23:04:45+00,16.59,15.97,15.1,14.26,15.12,13.68,14.08,90,40,1002.28,Chapel Hill Public Library,outside,35.932522,-79.035728,7737,-78,0,,6087
-79.035728,35.932522,2019/06/23 23:04:45+00,16.59,15.97,15.1,14.26,15.12,13.68,14.08,90,40,1002.28,Chapel Hill Public Library,outside,35.932522,-79.035728,7737,-78,0,,6088
-79.035728,35.932522,2019/06/23 23:04:45+00,16.59,15.97,15.1,14.26,15.12,13.68,14.08,90,40,1002.28,Chapel Hill Public Library,outside,35.932522,-79.035728,7737,-78,0,,6089
-79.035728,35.932522,2019/06/24 00:03:30+00,17.82,17.19,16.25,15.23,15.25,13.73,14.09,85,51,1002.76,Chapel Hill Public Library,outside,35.932522,-79.035728,11262,-85,2,,6090
-79.035728,35.932522,2019/06/24 00:03:30+00,17.82,17.19,16.25,15.23,15.25,13.73,14.09,85,51,1002.76,Chapel Hill Public Library,outside,35.932522,-79.035728,11262,-85,2,,6091
-79.035728,35.932522,2019/06/24 01:00:36+00,21.39,19.46,17.72,16.28,15.44,13.8,14.1,82,56,1003.2,Chapel Hill Public Library,outside,35.932522,-79.035728,14688,-89,4,,6092
-79.035728,35.932522,2019/06/24 01:00:36+00,21.39,19.46,17.72,16.28,15.44,13.8,14.1,82,56,1003.2,Chapel Hill Public Library,outside,35.932522,-79.035728,14688,-89,4,,6093
-79.035728,35.932522,2019/06/24 01:00:36+00,21.39,19.46,17.72,16.28,15.44,13.8,14.1,82,56,1003.2,Chapel Hill Public Library,outside,35.932522,-79.035728,14688,-89,4,,6094
-79.035728,35.932522,2019/06/24 02:05:00+00,20.83,20.9,19.66,17.96,15.83,13.93,14.12,80,58,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,18552,-85,0,,6095
-79.035728,35.932522,2019/06/24 02:05:00+00,20.83,20.9,19.66,17.96,15.83,13.93,14.12,80,58,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,18552,-85,0,,6096
-79.035728,35.932522,2019/06/24 02:05:00+00,20.83,20.9,19.66,17.96,15.83,13.93,14.12,80,58,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,18552,-85,0,,6097
